Driver,DriverNumber,Team,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,LapStartTime,Year,Event,Session,LapTime_sec,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,QualiSegment,IsPushLap,CircuitName,Country,TrackType,Altitude_m,DRSZones,LapSpeedClass,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m
OCO,31,Haas,,1,,0 days 00:00:19.465000,0 days 00:00:37.924000,SOFT,1,TRUE,1,257,295,301,162,1,FALSE,0 days 00:12:31.873000,2025,Australian Grand Prix,Q,,0 days 00:14:09.413000,31.3,50,1009.8,FALSE,39.1,226,1,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
RUS,63,Mercedes,,1,,0 days 00:00:19.626000,0 days 00:00:39.659000,MEDIUM,1,TRUE,1,265,307,306,104,1,FALSE,0 days 00:12:48.719000,2025,Australian Grand Prix,Q,,0 days 00:14:31.889000,30.7,52,1009.6,FALSE,39.1,270,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
DOO,7,Alpine,0 days 00:02:06.136000,1,0 days 00:01:01.845000,0 days 00:00:19.900000,0 days 00:00:44.391000,SOFT,1,TRUE,1,257,305,304,112,1,FALSE,0 days 00:12:57.186000,2025,Australian Grand Prix,Q,126.136,0 days 00:14:48.513000,30.7,52,1009.6,FALSE,39.1,270,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
BEA,87,Haas,,1,,0 days 00:00:33.462000,,SOFT,1,TRUE,1,98,159,,156,1,FALSE,0 days 00:12:39.496000,2025,Australian Grand Prix,Q,,0 days 00:14:54.121000,30.7,52,1009.6,FALSE,39.1,270,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
HUL,27,Alfa Romeo,0 days 00:01:56.272000,1,0 days 00:00:53.650000,0 days 00:00:20.891000,0 days 00:00:41.731000,SOFT,1,TRUE,1,251,284,307,123,1,FALSE,0 days 00:13:06.561000,2025,Australian Grand Prix,Q,116.272,0 days 00:14:56.521000,30.7,52,1009.6,FALSE,39.1,270,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
SAI,55,Williams,0 days 00:02:01.786000,1,0 days 00:00:57.903000,0 days 00:00:19.445000,0 days 00:00:44.438000,SOFT,1,TRUE,1,265,282,306,53,1,FALSE,0 days 00:13:08.356000,2025,Australian Grand Prix,Q,121.786,0 days 00:15:04.708000,30.7,52,1009.6,FALSE,39.1,270,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
BOR,5,Alfa Romeo,0 days 00:01:59.127000,1,0 days 00:00:58.144000,0 days 00:00:19.397000,0 days 00:00:41.586000,SOFT,1,TRUE,1,249,300,308,132,1,FALSE,0 days 00:13:16.660000,2025,Australian Grand Prix,Q,119.127,0 days 00:15:10.329000,30.7,52,1009.6,FALSE,39.1,270,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
ALO,14,Aston Martin,0 days 00:02:00.341000,1,0 days 00:01:00.576000,0 days 00:00:18.736000,0 days 00:00:41.029000,SOFT,1,TRUE,1,264,310,308,135,1,FALSE,0 days 00:13:29.995000,2025,Australian Grand Prix,Q,120.341,0 days 00:15:17.861000,30.7,52,1009.6,FALSE,39.1,270,1.5,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
OCO,31,Haas,0 days 00:01:17.517000,2,0 days 00:00:27.066000,0 days 00:00:17.337000,0 days 00:00:33.114000,SOFT,2,TRUE,1,288,323,303,315,1,TRUE,0 days 00:14:09.413000,2025,Australian Grand Prix,Q,77.517,0 days 00:15:26.930000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,1,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
LAW,30,Red Bull Racing,0 days 00:02:04.421000,1,0 days 00:01:01.606000,0 days 00:00:23.679000,0 days 00:00:39.136000,SOFT,1,TRUE,1,243,113,309,153,1,FALSE,0 days 00:13:47.299000,2025,Australian Grand Prix,Q,124.421,0 days 00:15:33.081000,30.4,53,1009.6,FALSE,39.5,261,1.4,Q1,0,Albert Park,Australia,Street,31,2,Medium,5070,16,0.003155819,316.875
