Driver,Team,Year,Event,CircuitName,TrackLength_m,NumCorners,CornerDensity,GapToPole,TeamYearStrength,DriverSkillDelta,DriverCircuitAffinity,TyreConditionScore,CompoundPenalty,TyreLifePenalty,WeatherGripPenalty,TrackTempPenalty,RainfallPenalty,TrackTemp,Humidity,IsStreetCircuit,SpeedClassNum,NormTrackLength,NormNumCorners,NormCornerDensity,Altitude_m,DRSZones,CircuitArchetype,QualiSegmentNum,S1_share,S2_share,S3_share,LapTime_sec,PoleLapTime,Compound,TyreLife,QualiSegment
AIT,Williams,2020,Sakhir Grand Prix,Bahrain International,5006.652008539475,15.0,0.0029960140977275,1.5150000000000006,2.551000000000009,0.04800000000000182,1.5150000000000006,0.05,0.0,0.05,0.3975,0.264,0.0,26.8,76.7,0,1,0.07662692066868529,-0.4680556125916825,-0.5250797315138804,35.0,2.0,Permanent-Medium,1,0.34680827807330755,0.35083436566348464,0.30235735626320775,54.892,53.377,SOFT,2.0,Q1
ALB,RB,2019,Australian Grand Prix,Albert Park,4843.53245567963,14.0,0.0028904523977295,2.1499999999999915,1.8175000000000026,0.09000000000000341,1.2149999999999892,0.05,0.0,0.05,0.17100000000000004,0.07200000000000004,0.0,36.4,69.8,1,1,-0.12177618446144439,-0.7429799002383637,-0.6510272976721347,31.0,2.0,Street-Medium,2,0.3316956290236701,0.2706810591025703,0.3976233118737596,82.636,80.486,SOFT,2.0,Q2
ALB,RB,2019,Austrian Grand Prix,Red Bull Ring,3999.68196710701,10.0,0.0025001987863632,1.6620000000000061,1.8175000000000026,0.09000000000000341,1.4550000000000054,0.2,0.0,0.2,0.0,0.0,0.0,50.3,25.2,0,2,-1.148155635993153,-1.8426770508250885,-1.1166459125389459,700.0,2.0,Permanent-Fast,2,0.25157349416222063,0.44299079873192604,0.3054357071058532,64.665,63.003,SOFT,5.0,Q2
ALB,RB,2019,Azerbaijan Grand Prix,Baku City,4978.250124294395,20.0,0.0040174759203837,1.6589999999999918,1.8175000000000026,0.09000000000000341,1.6589999999999918,0.05,0.0,0.05,0.17700000000000005,0.08400000000000006,0.0,35.8,68.6,1,2,0.042081570788943895,0.9065658256417235,0.6936447726344993,28.0,2.0,Street-Fast,2,0.3505687491434501,0.4046929146191045,0.24473833623744545,102.154,100.495,SOFT,2.0,Q2
ALB,RB,2019,Bahrain Grand Prix,Bahrain International,5006.652008539475,15.0,0.0029960140977275,1.6470000000000056,1.8175000000000026,0.09000000000000341,1.3024999999999949,0.05,0.0,0.05,0.24700000000000005,0.23200000000000004,0.0,28.4,53.0,0,1,0.07662692066868529,-0.4680556125916825,-0.5250797315138804,35.0,2.0,Permanent-Medium,2,0.31445711796051967,0.4341827444058405,0.2513601376336398,89.513,87.866,SOFT,2.0,Q2
ALB,RB,2019,British Grand Prix,Silverstone,5729.156782444218,18.0,0.003141823602237,1.2519999999999953,1.8175000000000026,0.09000000000000341,1.4550000000000054,0.15000000000000002,0.0,0.15000000000000002,0.30200000000000005,0.21200000000000002,0.0,29.4,68.0,0,2,0.9554129895418016,0.3567172503483611,-0.3511117846537936,140.0,2.0,Permanent-Fast,3,0.3213388152180207,0.40520006948867915,0.27346111529330014,86.345,85.093,SOFT,4.0,Q3
ALB,RB,2019,Canadian Grand Prix,Gilles Villeneuve,3927.405044134453,14.0,0.0035646947138566,1.7800000000000011,1.8175000000000026,0.09000000000000341,1.3024999999999949,0.05,0.0,0.05,0.0,0.0,0.0,47.5,22.4,0,1,-1.2360664087705144,-0.7429799002383637,0.15342335743024896,22.0,2.0,Permanent-Medium,2,0.2777145237434046,0.31843932241044154,0.4038461538461538,72.02,70.24,SOFT,2.0,Q2
ALB,RB,2019,French Grand Prix,Paul Ricard,5247.8799638259,15.0,0.0028582970844219,2.141999999999996,1.8175000000000026,0.09000000000000341,1.4550000000000054,0.05,0.0,0.05,0.0,0.0,0.0,54.4,42.1,0,2,0.37003365538516214,-0.4680556125916825,-0.6893923813172924,40.0,3.0,Permanent-Fast,2,0.2513901018118305,0.30801118714142006,0.4405987110467494,90.461,88.319,SOFT,2.0,Q2
ALB,RB,2019,German Grand Prix,Hockenheimring,4317.957322804004,17.0,0.0039370467860392,1.6940000000000026,1.8175000000000026,0.09000000000000341,1.3024999999999949,0.2,0.0,0.2,0.01,0.0,0.0,43.2,52.0,0,1,-0.7610357736003405,0.0817929627016799,0.5976833233674174,100.0,2.0,Permanent-Medium,1,0.21529791317842123,0.4810852016716353,0.3036168851499435,73.461,71.767,SOFT,5.0,Q1
ALB,RB,2019,Hungarian Grand Prix,Hungaroring,4122.248439558155,14.0,0.0033962048152295,2.114999999999995,1.8175000000000026,0.09000000000000341,2.114999999999995,0.05,0.0,0.05,0.0,0.0,0.0,45.3,49.0,0,0,-0.9990774397082004,-0.7429799002383637,-0.04760497628108983,150.0,1.0,Permanent-Slow,2,0.3608825485414738,0.354571178948192,0.28454627251033426,76.687,74.572,SOFT,2.0,Q2
