Driver,TeamYearStrength,TeamCircuitStrength,DriverSkillDelta,DriverCircuitAffinity,S1_share,S2_share,S3_share,RelSpeedST,Rolling3Form,YoYImprovement
ALB,1.341750000000001,1.3945208333333365,-0.11374999999999602,1.4119374999999978,0.3087515858821581,0.38506333798248726,0.3061850761353546,14.97166732177314,1.2633958333333346,0.13800000000000523
ALO,1.0949999999999989,1.1160833333333322,-0.20674999999999955,1.0223958333333296,0.3092945042246968,0.38466818058924784,0.3060373151860553,15.305000655106474,0.9751388888888896,-0.20299999999999585
BEA,1.0405000000000004,1.0713333333333352,-0.06650000000000489,3.532333333333336,0.32352096122773794,0.4193448979358845,0.2571341408363776,3.793792710221529,1.4165000000000063,0.0
BOT,1.854499999999998,1.8092916666666667,-0.2567500000000038,0.9911250000000029,0.30880561309263005,0.38500363180451336,0.30619075510285665,12.805000655106474,1.7726250000000003,-0.0899999999999892
COL,1.341750000000001,1.4000555555555607,0.04550000000000409,1.5928888888888904,0.30219070100377976,0.3982539117892847,0.2995553872069354,14.566778397330697,1.675574074074077,0.0
DOO,1.4804999999999957,1.2334999999999994,0.5605000000000047,1.5100000000000051,0.2056595921764461,0.4311039771713929,0.363236430652161,-0.9493670886075734,1.2600000000000051,0.0
GAS,1.4804999999999957,1.4456458333333326,-0.005500000000004945,1.241645833333334,0.3086737276186699,0.3852131208965688,0.3061131514847613,12.09666732177314,1.8998194444444436,-0.309500000000007
HAM,0.6320000000000014,0.6136458333333353,0.11524999999999608,0.4278958333333354,0.3088265409384478,0.3849884547536804,0.3061850043078718,14.47166732177314,0.8197291666666651,-0.07150000000000745
HUL,1.3535000000000004,1.3041458333333302,-0.11650000000000205,1.4655208333333356,0.30915304967194185,0.3848409161606898,0.3060060341673683,17.97166732177314,1.3127638888888884,0.2360000000000042
LAW,1.2225000000000001,1.211666666666665,0.10649999999999693,1.5755000000000052,0.28998138569442283,0.40303303349095887,0.30698558081461824,21.252546389635693,1.2958333333333354,0.40050000000000097
LEC,0.4145000000000003,0.44095833333333684,-0.011249999999996874,0.4611458333333345,0.309287648914728,0.38451164358936535,0.30620070749590667,14.930000655106474,0.5050138888888899,-0.18099999999999739
MAG,1.3535000000000004,1.2938636363636329,0.13000000000000256,1.8019545454545403,0.3088332119863716,0.3778080292033493,0.3133587588102791,14.909448561869162,1.7080984848484848,0.4720000000000084
NOR,0.35674999999999457,0.3760208333333326,-0.054249999999996135,0.953708333333329,0.3095743794144084,0.3844477656536727,0.3059778549319188,15.263333988439806,0.39877777777777906,0.3780000000000001
OCO,1.480499999999996,1.4548695652173904,-0.0020000000000095497,1.3172826086956493,0.3137767084710821,0.3827132072234637,0.30351008430545423,13.968234035267953,1.902695652173915,-0.42900000000000205
PER,0.4947499999999998,0.4710833333333335,0.31425000000000125,0.8073750000000001,0.30864048281175976,0.3847823248208118,0.30657719236742836,13.84666732177314,1.44175,0.03400000000001313
PIA,0.35674999999999457,0.3760208333333326,0.05425000000000324,0.6315833333333337,0.3090006577462688,0.3847722015527109,0.30622714070102036,14.388333988439806,0.5144722222222226,0.4475000000000051
RIC,1.2225000000000001,1.1979166666666652,0.11625000000000085,1.3858333333333361,0.31562007751108007,0.3787844777185263,0.3055954447703936,11.21137429915229,1.432064814814814,-0.07449999999999335
RUS,0.6320000000000014,0.6136458333333353,-0.11524999999999608,1.2213541666666625,0.30933772960604383,0.38473646289485375,0.3059258074991024,13.888333988439806,0.5832222222222235,0.09700000000000131
SAI,0.4145000000000003,0.443630434782612,0.003999999999990678,0.7396521739130482,0.30648988808890915,0.3879907636085302,0.30551934830256067,14.097860215361937,0.5783260869565219,-0.015000000000000568
SAR,1.341750000000001,1.4068333333333356,0.23999999999999488,2.002500000000001,0.3079602138663196,0.39419738599489634,0.2978424001387841,13.471630798928212,1.7861527777777768,0.4265000000000043
STR,1.0949999999999989,1.1160833333333322,0.20674999999999955,1.7079374999999972,0.3086024020297994,0.38463501022733376,0.30676258774286685,15.34666732177314,1.3247430555555564,0.3290000000000006
TSU,1.2225000000000001,1.201354166666665,-0.11625000000000085,1.4836874999999965,0.30870068183884436,0.3851122535314326,0.30618706462972306,14.180000655106474,1.1867291666666668,0.46999999999998465
VER,0.4947499999999998,0.4710833333333335,-0.31424999999999415,0.15743749999999945,0.30886941902049064,0.38451444829789133,0.306616132681618,15.805000655106474,0.27430555555555536,-0.03849999999999909
ZHO,1.8544999999999978,1.795869565217391,0.25799999999999557,1.91704347826087,0.30641575603446514,0.38839049546457644,0.3051937485009584,11.706555867535851,2.225376811594204,-0.13600000000000279
ANT,0.6320000000000014,0.6165000000000092,0.0,0.9039999999999964,0.31908463061030534,0.3921378348504108,0.2967779940352363,9.603974730192164,0.5388333333333339,0.01274999999999693
HAD,1.2225000000000001,1.1235,-0.004875000000001961,1.5089999999999932,0.3187861916336635,0.39272583667794325,0.2975267416406797,7.135317460317481,1.2738333333333312,0.4352499999999928
BOR,1.854499999999998,1.8335000000000008,-0.2567500000000038,1.5330000000000013,0.31535956551373456,0.3987461849377217,0.2956528140759009,7.482758620689651,1.7753333333333359,-0.0899999999999892
