Feature,Importance
CompoundPenalty,0.3333398
QualiSegmentNum,0.16896132
TyreConditionScore,0.15306921
RainfallPenalty,0.060575802
RelSpeedST,0.035173465
DriverSkillDelta,0.027204333
S1_share,0.02693987
WeatherGripPenalty,0.026065946
TeamCircuitStrength,0.016534021
SpeedClassNum,0.0151301725
NormNumCorners,0.014456198
Altitude_m,0.014056239
TeamYearStrength,0.0135759255
TrackTempPenalty,0.013027565
DRSZones,0.012826177
NormTrackLength,0.01159314
Humidity,0.008351482
DriverCircuitAffinity,0.0083368365
S3_share,0.007735684
TrackTemp,0.007485823
TyreLifePenalty,0.006683608
S2_share,0.0054316632
Rolling3Form,0.0045682467
YoYImprovement,0.0036607448
NormCornerDensity,0.0027329044
IsStreetCircuit,0.0016374486
TeamChange,0.00084632967
