Driver,Team,Year,Event,DriverNumber,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,IsPersonalBest,LapStartTime,Session,LapTime_sec,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,QualiSegment,IsPushLap,CircuitName,Country,TrackType,Altitude_m,DRSZones,LapSpeedClass,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,SessionAvgSpeedST,PoleLapTime,GapToPole,SpeedClassNum,IsStreetCircuit,CircuitArchetype,TeamYearStrength,TeamCircuitStrength,DriverDelta,DriverSkillDelta,CompoundPenalty,TyreLifePenalty,TyreConditionScore,TrackTempPenalty,RainfallPenalty,HumidityPenalty,WeatherGripPenalty,NormTrackLength,NormNumCorners,NormCornerDensity,QualiSegmentNum,Sector1Time_s,Sector2Time_s,Sector3Time_s,S1_share,S2_share,S3_share,DriverCircuitAffinity,RelSpeedST,TeamChange,Rolling3Form,YoYImprovement,SampleWeight
AIT,Williams,2020,Sakhir Grand Prix,89.0,0 days 00:00:54.892000,8.0,0 days 00:00:19.037000,0 days 00:00:19.258000,0 days 00:00:16.597000,SOFT,2.0,True,3.0,290.0,271.0,295.0,338.0,1.0,True,0 days 00:31:03.422000,Q,54.892,0 days 00:31:18.933000,24.2,76.7,1012.0,False,26.8,206.0,0.5,Q1,1.0,Bahrain International,Bahrain,Permanent,35.0,2.0,Medium,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,299.37931034482756,53.377,1.5150000000000006,1.0,0,Permanent-Medium,2.551000000000009,2.3445000000000036,0.04800000000000182,0.04800000000000182,0.0,0.05,0.05,0.264,0.0,0.1335,0.3975,0.07662692066868529,-0.4680556125916825,-0.5250797315138804,1,19.037,19.258,16.597,0.34680827807330755,0.35083436566348464,0.30235735626320775,1.5150000000000006,38.62068965517244,0,1.2600000000000051,0.0,1.5
ALB,RB,2019,Australian Grand Prix,23.0,0 days 00:01:22.636000,13.0,0 days 00:00:27.410000,0 days 00:00:22.368000,0 days 00:00:32.858000,SOFT,2.0,True,4.0,284.0,290.0,299.0,322.0,1.0,True,0 days 00:54:24.901000,Q,82.636,0 days 00:53:57.247000,22.9,69.8,1016.6,False,36.4,158.0,2.0,Q2,1.0,Albert Park,Australia,Street,31.0,2.0,Medium,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,309.36538461538464,80.486,2.1499999999999915,1.0,1,Street-Medium,1.8175000000000026,2.0874999999999915,0.0625,0.09000000000000341,0.0,0.05,0.05,0.07200000000000004,0.0,0.09899999999999999,0.17100000000000004,-0.12177618446144439,-0.7429799002383637,-0.6510272976721347,2,27.41,22.368,32.858,0.3316956290236701,0.2706810591025703,0.3976233118737596,1.2149999999999892,12.634615384615358,0,0.9030000000000058,0.0,1.0
ALB,RB,2019,Austrian Grand Prix,23.0,0 days 00:01:04.665000,11.0,0 days 00:00:16.268000,0 days 00:00:28.646000,0 days 00:00:19.751000,SOFT,5.0,False,3.0,320.0,243.0,288.0,314.0,1.0,True,0 days 00:45:14.422000,Q,64.665,0 days 00:44:48.829000,30.2,25.2,941.8,False,50.3,65.0,0.8,Q2,1.0,Red Bull Ring,Austria,Permanent,700.0,2.0,Fast,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,284.93959731543623,63.003,1.6620000000000061,2.0,0,Permanent-Fast,1.8175000000000026,1.7150000000000034,-0.3294999999999959,0.09000000000000341,0.0,0.2,0.2,0.0,0.0,0.0,0.0,-1.148155635993153,-1.8426770508250885,-1.1166459125389459,2,16.268,28.646,19.751,0.25157349416222063,0.44299079873192604,0.3054357071058532,1.4550000000000054,37.06040268456377,0,1.5264999999999986,0.0,1.0
ALB,RB,2019,Azerbaijan Grand Prix,23.0,0 days 00:01:42.154000,7.0,0 days 00:00:35.812000,0 days 00:00:41.341000,0 days 00:00:25.001000,SOFT,2.0,True,2.0,208.0,237.0,335.0,313.0,1.0,True,0 days 00:28:58.088000,Q,102.154,0 days 00:29:27.131000,16.5,68.6,1023.6,False,35.8,210.0,1.2,Q2,1.0,Baku City,Azerbaijan,Street,28.0,2.0,Fast,4978.250124294395,20.0,0.0040174759203837,246.1587014542076,306.7483870967742,100.495,1.6589999999999918,2.0,1,Street-Fast,1.8175000000000026,1.4224999999999923,0.2365000000000066,0.09000000000000341,0.0,0.05,0.05,0.08400000000000006,0.0,0.09299999999999997,0.17700000000000005,0.042081570788943895,0.9065658256417235,0.6936447726344993,2,35.812,41.341,25.001,0.3505687491434501,0.4046929146191045,0.24473833623744545,1.6589999999999918,6.251612903225805,0,1.5716666666666679,0.0,1.0
ALB,RB,2019,Bahrain Grand Prix,23.0,0 days 00:01:29.513000,14.0,0 days 00:00:28.148000,0 days 00:00:38.865000,0 days 00:00:22.500000,SOFT,2.0,True,5.0,246.0,268.0,291.0,324.0,1.0,True,0 days 00:53:40.256000,Q,89.513,0 days 00:53:30.167000,25.0,53.0,1010.5,False,28.4,39.0,1.3,Q2,1.0,Bahrain International,Bahrain,Permanent,35.0,2.0,Medium,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,311.08045977011494,87.866,1.6470000000000056,1.0,0,Permanent-Medium,1.8175000000000026,1.816999999999993,-0.1705000000000041,0.09000000000000341,0.0,0.05,0.05,0.23200000000000004,0.0,0.015,0.24700000000000005,0.07662692066868529,-0.4680556125916825,-0.5250797315138804,2,28.148,38.865,22.5,0.31445711796051967,0.4341827444058405,0.2513601376336398,1.3024999999999949,12.919540229885058,0,1.8236666666666632,0.0,1.0
ALB,RB,2019,British Grand Prix,23.0,0 days 00:01:26.345000,23.0,0 days 00:00:27.746000,0 days 00:00:34.987000,0 days 00:00:23.612000,SOFT,4.0,True,6.0,316.0,270.0,252.0,329.0,1.0,True,0 days 01:14:10.799000,Q,86.345,0 days 01:14:04.895000,19.2,68.0,1005.2,False,29.4,34.0,1.8,Q3,1.0,Silverstone,UK,Permanent,140.0,2.0,Fast,5729.156782444218,18.0,0.003141823602237,308.38119142432896,309.45061728395063,85.093,1.2519999999999953,2.0,0,Permanent-Fast,1.8175000000000026,1.7150000000000034,-0.1880000000000024,0.09000000000000341,0.0,0.15000000000000002,0.15000000000000002,0.21200000000000002,0.0,0.09,0.30200000000000005,0.9554129895418016,0.3567172503483611,-0.3511117846537936,3,27.746,34.987,23.612,0.3213388152180207,0.40520006948867915,0.27346111529330014,1.4550000000000054,19.549382716049365,0,1.6960000000000026,0.0,1.0
ALB,RB,2019,Canadian Grand Prix,23.0,0 days 00:01:12.020000,6.0,0 days 00:00:20.001000,0 days 00:00:22.934000,0 days 00:00:29.085000,SOFT,2.0,True,2.0,260.0,282.0,296.0,324.0,1.0,True,0 days 00:29:17.342000,Q,72.02,0 days 00:28:51.339000,22.5,22.4,1022.2,False,47.5,347.0,1.8,Q2,1.0,Gilles Villeneuve,Canada,Permanent,22.0,2.0,Medium,3927.405044134453,14.0,0.0035646947138566,283.5726195795773,289.2097902097902,70.24,1.7800000000000011,1.0,0,Permanent-Medium,1.8175000000000026,1.816999999999993,0.04949999999999477,0.09000000000000341,0.0,0.05,0.05,0.0,0.0,0.0,0.0,-1.2360664087705144,-0.7429799002383637,0.15342335743024896,2,20.001,22.934,29.085,0.2777145237434046,0.31843932241044154,0.4038461538461538,1.3024999999999949,38.790209790209815,0,1.5643333333333327,0.0,1.0
ALB,RB,2019,French Grand Prix,23.0,0 days 00:01:30.461000,13.0,0 days 00:00:22.741000,0 days 00:00:27.863000,0 days 00:00:39.857000,SOFT,2.0,True,4.0,115.0,289.0,298.0,340.0,1.0,True,0 days 00:54:05.973000,Q,90.461,0 days 00:53:57.056000,26.5,42.1,965.0,False,54.4,350.0,3.1,Q2,1.0,Paul Ricard,France,Permanent,40.0,3.0,Fast,5247.8799638259,15.0,0.0028582970844219,343.1152226897838,309.4852941176471,88.319,2.141999999999996,2.0,0,Permanent-Fast,1.8175000000000026,1.7150000000000034,-0.5514999999999901,0.09000000000000341,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.37003365538516214,-0.4680556125916825,-0.6893923813172924,2,22.741,27.863,39.857,0.2513901018118305,0.30801118714142006,0.4405987110467494,1.4550000000000054,30.514705882352928,0,1.1546666666666663,0.0,1.0
ALB,RB,2019,German Grand Prix,23.0,0 days 00:01:13.461000,5.0,0 days 00:00:15.816000,0 days 00:00:35.341000,0 days 00:00:22.304000,SOFT,5.0,True,1.0,213.0,263.0,269.0,327.0,12.0,True,0 days 00:24:50.937000,Q,73.461,0 days 00:24:54.864000,28.2,52.0,990.3,False,43.2,73.0,1.9,Q1,1.0,Hockenheimring,Germany,Permanent,100.0,2.0,Medium,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,306.8411214953271,71.767,1.6940000000000026,1.0,0,Permanent-Medium,1.8175000000000026,1.816999999999993,0.1629999999999967,0.09000000000000341,0.0,0.2,0.2,0.0,0.0,0.01,0.01,-0.7610357736003405,0.0817929627016799,0.5976833233674174,1,15.816,35.341,22.304,0.21529791317842123,0.4810852016716353,0.3036168851499435,1.3024999999999949,33.158878504672884,0,1.7246666666666641,0.0,1.0
ALB,RB,2019,Hungarian Grand Prix,23.0,0 days 00:01:16.687000,10.0,0 days 00:00:27.675000,0 days 00:00:27.191000,0 days 00:00:21.821000,SOFT,2.0,True,3.0,278.0,255.0,261.0,306.0,1.0,True,0 days 00:43:03.957000,Q,76.687,0 days 00:43:10.416000,24.6,49.0,982.3,False,45.3,89.0,1.0,Q2,1.0,Hungaroring,Hungary,Permanent,150.0,1.0,Slow,4122.248439558155,14.0,0.0033962048152295,230.29459504961537,301.75409836065575,74.572,2.114999999999995,0.0,0,Permanent-Slow,1.8175000000000026,2.1174999999999926,-0.0024999999999977263,0.09000000000000341,0.0,0.05,0.05,0.0,0.0,0.0,0.0,-0.9990774397082004,-0.7429799002383637,-0.04760497628108983,2,27.675,27.191,21.821,0.3608825485414738,0.354571178948192,0.28454627251033426,2.114999999999995,8.245901639344254,0,1.8719999999999999,0.0,1.0
